Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link;
Periférico y Carretera a Chapala, las más riesgosas para ciclistas en la ZMG;11/08/2023;El Informador;Bicicleta;Siniestralidad;Varios;https://www.informador.mx/jalisco/Jalisco-Periferico-y-Carretera-a-Chapala-las-vias-mas-riesgosas-para-ciclistas-en-la-ZMG-20230811-0094.html;
Ciclopueretos de mi bici seran vigilados por C5;09/08/2023;Trafico ZMG;Bicicleta;Bici pública;Seguridad  ;https://traficozmg.com/2023/08/ciclopuertos-de-mi-bici-seran-vigilados-con-c5-guadalajara/;
Donde hay ciclovias en Guadalajara;09/08/2023;Soy nomada;Bicicleta;Ciclovía;Varios;https://www.soynomada.news/viajes/Donde-hay-ciclovias-en-Guadalajara-y-en-que-calles-estan-20230809-0004.html;
Instalan botones de pánico en ciclopuertos de MiBici;09/08/2023;El Informador;Bicicleta;Bici pública;Violencia de género;https://www.informador.mx/jalisco/Guadalajara-Instalaran-botones-de-panico-en-ciclopuertos-de-MiBici-20230809-0120.html;
Es facil moverse en bicicleta por el centro de Guadalajara;08/08/2023;Soy nomada;Bicicleta;Uso;Varios;https://www.soynomada.news/mochileros/Es-facil-moverse-en-bicicleta-en-el-centro-de-Guadalajara-20230808-0001.html;
Invierten 40 mdp en más ciclovías para la Ciudad;07/08/2023;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com.mx/invierten-40-mdp-en-mas-ciclovias-para-la-ciudad/ar2653552;
¿Falta de ciclovías? Jalisco queda a media tabla en uso de bici como medio de transporte;02/08/2023;Canal 44;Bicicleta;Uso;Varios;https://www.youtube.com/watch?v=Xq4BAvV0RzI;
Uno de cada seis usa la bicicleta como medio de transporte en Jalisco;02/08/2023;UDGTV;Bicicleta;Uso;Varios;https://udgtv.com/noticias/uno-de-cada-seis-usa-la-bicicleta-como-medio-de-transporte/193934;
Ciclovía de los poetas desaparecio;01/08/2023;Tribuna de la Bahia;Bicicleta;Ciclovía;Infraestructura;https://tribunadelabahia.com.mx/ciclovia-los-poetas-desaparecio-70436;
Ciclistas piden limpiar y respetar ciclovía de 8 de Julio en Tlaquepaque;28/07/2023;El Occidental;Bicicleta;Ciclovía;Mantenimiento;https://www.eloccidental.com.mx/local/ciclistas-piden-limpiar-y-respetar-ciclovia-de-8-de-julio-en-tlaquepaque-10452500.html;
Avanza ampliación del programa MiBici en ZMG;21/07/2023;Notisistema;Bicicleta;Bici pública;Infraestructura;https://www.notisistema.com/noticias/avanza-ampliacion-del-programa-mibici-en-zmg/;
Usuarios de Mi Bici no sienten mejora en servicio a pesar de reparación y llegada de bicicletas;21/07/2023;Canal 44;Bicicleta;Bici pública;Servicio;https://www.youtube.com/watch?v=0AnsBABhOv8;
¡A buscarlas! Llegan 112 bicicletas nuevas al sistema de MiBici;20/07/2023;El Informador;Bicicleta;Bici pública;Equipamiento;https://www.informador.mx/jalisco/Guadalajara-A-buscarlas-Llegan-112-bicicletas-nuevas-al-sistema-de-MiBici-20230720-0142.html;
Pese a quejas, sube uso de Mi Bici;20/07/2023;Mural;Bicicleta;Bici pública;Servicio;https://www.mural.com.mx/pese-a-quejas-sube-uso-de-mi-bici/ar2643755;
Critican Actuar de Ciclistas en el Centro;19/07/2023;Pagina24Jalisco;Bicicleta;Cultura vial;Denuncia;https://pagina24jalisco.com.mx/2023/07/19/local/critican-actuar-de-ciclistas-en-el-centro/;
Aseguran capacitar a prestadores de servicio en Vía Recreactiva para evitar accidentes;17/07/2023;El Informador;Bicicleta;Vía recreactiva;Varios;https://www.informador.mx/jalisco/Via-Recreactiva-ZMG-Aseguran-capacitar-a-prestadores-de-servicio-para-evitar-accidentes-20230717-0134.html;
Ciclista atropella a mujer en plena Vía Recreactiva;16/07/2023;El Informador;Bicicleta;Cultura vial;Siniestralidad;https://www.informador.mx/jalisco/Seguridad-en-Jalisco-Ciclista-atropella-a-mujer-en-plena-Via-Recreactiva-20230716-0041.html;
Realizan segunda rodada ciclista;11/07/2023;UDGTV;Bicicleta;Acciones;Seguridad vial;https://udgtv.com/radio/realizan-segunda-rodada-ciclista/;
Crean red de atención a ciclistas en La Primavera;11/07/2023;NTR Guadalajara;Bicicleta;Acciones;Siniestralidad;https://ntrguadalajara.com/post.php?id_nota=200355;
Una Ciclovía Desde La Zona Hotelera Hasta El Malecón.;05/07/2023;Reporte diario;Bicicleta;Ciclovía;Infraestructura;https://www.reportediario.com.mx/noticias/puerto-vallarta/una-ciclovia-desde-la-zona-hotelera-hasta-el-malecon.;
Quinta etapa de MiBici costará 61.5 mdp;03/07/2023;NTR Guadalajara;Bicicleta;Bici pública;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=199952;
La audacia del “cochecentrismo” y su comedia involuntaria;01/07/2023;Somos el medio;Bicicleta;Infraestructura;Opiniones;https://www.somoselmedio.com/la-audacia-del-cochecentrismo-y-su-comedia-involuntaria/?amp=1;
Autoridades y vecinos elegirán ubicación de puertos de MiBici;30/06/2023;El Informador;Bicicleta;Bici pública;Infraestructura;https://www.informador.mx/MiBici-Autoridades-y-vecinos-elegiran-ubicacion-de-nuevos-puertos-l202306300001.html;
Dos Ciclistas Colisionan En Etziquio Corona.;29/06/2023;Reporte diario;Bicicleta;Siniestralidad;Bicicleta;https://www.reportediario.com.mx/noticias/puerto-vallarta/dos-ciclistas-colisionan-en-etziquio-corona.;
A través de la rodada ciclista “Hazte Bicible” fomentan cultura vial;29/06/2023;UDGTV;Bicicleta;Rodada;Cultura vial;https://udgtv.com/noticias/nacional/traves-la-rodada-ciclista-hazte-bicible-fomentan-cultura-vial/;
MiBici llegará en octubre a la zona oriente de la metrópoli;28/06/2023;NTR Guadalajara;Bicicleta;Bici pública;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=199773;
Justifican deficiencia de Mi Bici por incremento en demanda de usuarios;28/06/2023;Canal 44;Bicicleta;Bici pública;Mantenimiento;https://www.youtube.com/watch?v=qzXT2-QByls;
Piden mayor cobertura del programa Mi Bici hacia Tonalá y hacia Miravalle;27/06/2023;UDGTV;Bicicleta;Bici pública;Infraestructura;https://udgtv.com/noticias/piden-mayor-cobertura-del-programa-mi-bici-hacia-tonala-y-hacia-miravalle/;
Ruedan desnudos para ser vistos y promover las movilidad no motorizada;26/06/2023;Canal 44;Bicicleta;Rodada;Al desnudo;https://www.youtube.com/watch?v=n-tz4220_Gg;
Tapatías se unen a la rodada nacional de Morras para Morras;25/06/2023;El Informador;Bicicleta;Rodada;Género;https://www.informador.mx/jalisco/Guadalajara-Tapatias-se-unen-a-la-rodada-nacional-de-Morras-para-Morras-20230625-0085.html;
Rodada ciclista al desnudo: Conoce las calles por las que pasará;23/06/2023;El Occidental;Bicicleta;Rodada;Al desnudo;https://www.eloccidental.com.mx/local/rodada-ciclista-al-desnudo-conoce-las-calles-por-las-que-pasara-10268030.html;
MiBici tendrá 60 nuevas estaciones y 772 bicicletas más;23/06/2023;El Informador;Bicicleta;Bici pública;Infraestructura;https://www.informador.mx/jalisco/MiBici-tendra-60-nuevas-estaciones-y-772-bicicletas-mas-20230623-0111.html;
Ciclovía de Santa Cecilia será un hecho, pero se respetarán estacionamientos: Frangie;23/06/2023;El Occidental;Bicicleta;Ciclovía;Oposición;https://www.eloccidental.com.mx/local/ciclovia-de-santa-cecilia-sera-un-hecho-pero-se-respetaran-estacionamientos-frangie-10268529.html;
Incrementan 6% viajes de MiBici en primer semestre de 2023;23/06/2023;NTR Guadalajara;Bicicleta;Bici pública;Servicio;https://www.ntrguadalajara.com/post.php?id_nota=199576;
¡Basura y escombros! Así son las condiciones de ciclovía en Av. Guadalupe;21/06/2023;TV azteca;Bicicleta;Ciclovía;Mantenimiento;https://www.aztecajalisco.com/azteca-noticias/basura-escombros-condiciones-ciclovia-guadalupe;
Habitantes de Santa Cecilia, en Zapopan, rechazan construcción de ciclovía;20/06/2023;UDGTV;Bicicleta;Ciclovía;Rechazo;https://udgtv.com/noticias/habitantes-santa-cecilia-zapopan-rechazan-construccion-ciclovia/;
En julio inicia construcción de nuevo tramo de ciclovía en Av. 16 de septiembre;15/06/2023;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/en-julio-inicia-construccion-de-nuevo-tramo-de-ciclovia-en-av-16-de-septiembre/;
En agosto estaría lista la ciclovía de Javier Mina;15/06/2023;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/en-agosto-estaria-lista-la-ciclovia-de-javier-mina/;
Este año, ocho ciclistas han perdido la vida en Guadalajara;13/06/2023;Lider 919;Bicicleta;Siniestralidad;Datos;https://lider919.com/este-ano-8-ciclistas-han-perdido-la-vida-en-guadalajara/;
Denuncian Agresiones de Ciclistas;13/06/2023;Pagina24Jalisco;Bicicleta;Siniestralidad;Varios;https://pagina24jalisco.com.mx/2023/06/13/local/denuncian-agresiones-de-ciclistas/;
¡Casi muertos! Así lucen los árboles de la ciclovía de MiMacro Periférico;12/06/2023;TV azteca;Bicicleta;Ciclovía;Infraestructura;https://www.aztecajalisco.com/azteca-noticias/casi-muertos-lucen-arboles-ciclovia-mimacro-periferico;
Piden Ampliar la Vía Recreactiva;12/06/2023;Pagina24Jalisco;Bicicleta;Vía receractiva;Varios;https://pagina24jalisco.com.mx/2023/06/12/local/piden-ampliar-la-via-recreactiva/;
